     Group.1 Group.2          x
1066       m      aw  0.0073130
1067      ow      aw -0.0554310
1068       p      aw  0.0960040
1069       r      aw -0.0029735
1070       s      aw  0.0217590
1071      sh      aw -0.0047320
1072       t      aw -0.0053810
1073      aa      aw  0.1669755
1074       b      aw  0.0012260
1075       n      aw -0.0159000
1076      aw      aw -0.0027340
1077      ae      jh -0.0038610
1078      ax      jh -0.0323200
1079      ay      jh -0.0130000
1080       d      jh -0.0017880
1081      eh      jh  0.0193130
1082      er      jh -0.0095880
1083      ey      jh -0.0030000
1084      h#      jh  0.0016425
1085      ih      jh  0.0062280
1086      iy      jh  0.0195890
1087       m      jh -0.0030000
1088      ow      jh -0.0234010
1089       r      jh -0.0080130
1090       s      jh  0.0342150
1091       t      jh  0.0014260
1092      uh      jh -0.0006260
1093      aa      jh  0.0140760
1094       n      jh  0.0068435
1095       v      jh  0.0008970
1096      ay      zh -0.0330000
1097      iy      zh -0.0020100
1098      uw      zh  0.0084290
