     Group.1 Group.2          x
241       ch      er  0.0048135
242        n      er -0.0200200
243        v      er -0.0059440
244        y      er -0.0158210
245        z      er  0.0041600
246       aw      er -0.0139830
247        d      ey -0.0020710
248       dh      ey -0.0091030
249       ey      ey  0.2151980
250        g      ey -0.0130000
251       hh      ey -0.0073520
252       iy      ey  0.0136540
253        k      ey -0.0049940
254        l      ey -0.0343695
255        m      ey -0.0190560
256        p      ey -0.0006070
257        r      ey -0.0066550
258        s      ey  0.0080000
259        t      ey -0.0019100
260       th      ey -0.0330470
261       uh      ey -0.0350220
262        w      ey -0.0412690
263        b      ey -0.0030000
264        n      ey -0.0081280
265        z      ey  0.0123420
266       jh      ey -0.0358400
267       ae       f -0.0057965
268       ao       f  0.0071985
269       ax       f  0.0012550
270       ay       f  0.0044490
271        d       f -0.0242000
272       eh       f  0.0131460
273       er       f -0.0068705
274       ey       f  0.0036750
275       h#       f -0.0072310
276       ih       f  0.0073890
277       iy       f -0.0006670
278        k       f -0.0194250
279        l       f  0.0107560
280        m       f -0.0034840
281       ng       f  0.0465200
282       ow       f -0.0011320
283        p       f -0.0130000
284        r       f -0.0048220
285        s       f  0.0181765
286        t       f -0.0259445
287       uh       f  0.0081020
288       uw       f -0.0085590
289       aa       f  0.0047915
290       ah       f  0.0056860
291        n       f -0.0056000
292        v       f -0.0468120
293        z       f  0.0245990
294       aw       f  0.0006260
295       ae       g  0.0182530
296       ao       g -0.0886550
297       ax       g  0.0025000
298       ay       g -0.0015545
299        d       g -0.0020000
300       eh       g -0.0251110
301       er       g -0.0030000
302       ey       g  0.0063420
303        g       g  0.0648860
304       h#       g -0.0019015
305       ih       g  0.0016625
306       iy       g  0.0018540
307        k       g  0.0033645
308        l       g -0.0098915
309        m       g -0.0041875
310       ng       g  0.0108990
311       ow       g -0.0160830
312        r       g -0.0064960
313        s       g -0.0271035
314        t       g -0.0451960
315       uh       g  0.0021580
316       uw       g -0.0008310
317       aa       g  0.0279990
318       ah       g -0.0127245
319        b       g -0.0457150
320        n       g  0.0041510
321        v       g -0.0147350
322        y       g -0.0007930
323        z       g -0.0045485
324       aw       g -0.0103720
325       ae      h# -0.0101600
326       ao      h# -0.0219510
327       ax      h# -0.0216080
328       ay      h# -0.0081850
329        d      h# -0.0137720
330       eh      h# -0.0171905
331       er      h# -0.0100800
332       ey      h# -0.0227920
333        f      h#  0.0515010
334        g      h# -0.3168740
335       h#      h#  0.0472180
336       hh      h#  0.0683650
337       ih      h# -0.0101200
338       iy      h# -0.0315070
339        k      h#  0.0183280
340        l      h# -0.0235970
341        m      h#  0.0000310
342       ng      h#  0.0333175
343       ow      h# -0.0135530
344        p      h#  0.0270000
345        r      h# -0.0167660
346        s      h#  0.0590135
347        t      h# -0.0071980
348       th      h#  0.0159480
349       uh      h# -0.0144775
350       uw      h# -0.0120000
351        w      h# -0.0300220
352       aa      h# -0.0333810
353       ah      h# -0.0073750
354       ch      h#  0.0480000
355        n      h# -0.0069550
356        v      h#  0.0125500
357        z      h#  0.0535515
358       aw      h# -0.0052475
359       jh      h#  0.0129090
360       ae      hh -0.0166570
361       ao      hh  0.0146710
362       ax      hh -0.0024410
363       ay      hh  0.0122300
364       eh      hh  0.0170000
365       er      hh  0.0053950
366       ey      hh -0.0367230
367        f      hh -0.0030000
368        g      hh  0.0043630
369       h#      hh  0.0066445
370       ih      hh -0.0020000
371       iy      hh -0.0020000
372        l      hh -0.0320000
373        m      hh -0.0055980
374       ow      hh -0.0127820
375        r      hh -0.0041980
376        s      hh  0.0353200
377        t      hh -0.0033535
378       uw      hh  0.0091075
379       ah      hh  0.0085180
380       ch      hh  0.0483630
381        n      hh  0.0013060
382        v      hh -0.0010680
383        y      hh  0.0132650
384        z      hh  0.0569175
385       oy      hh -0.0106970
386       aw      hh -0.0107415
387       ae      ih  0.0263280
388       ax      ih -0.0261970
389       ay      ih -0.0040890
390        d      ih -0.0069180
391       dh      ih -0.0126350
392       eh      ih -0.0111630
393       er      ih -0.0095955
394       ey      ih -0.1336420
395        f      ih -0.0064040
396        g      ih -0.0013105
397       h#      ih  0.0199720
398       hh      ih -0.0153810
399       ih      ih -0.0127590
400       iy      ih  0.0069575
401        k      ih -0.0036010
402        l      ih -0.0206280
403        m      ih -0.0167190
404       ng      ih -0.0090100
405       ow      ih -0.0278070
406        p      ih -0.0107225
407        r      ih -0.0177530
408        s      ih  0.0072670
409       sh      ih -0.0047480
410        t      ih -0.0082180
411       th      ih -0.0127570
412       uh      ih -0.0149260
413       uw      ih -0.0005010
414        w      ih -0.0166095
415       aa      ih -0.0015905
416       ah      ih  0.0160020
417        b      ih -0.0072160
418       ch      ih -0.0075970
419        n      ih -0.0095130
420        v      ih -0.0137040
421        y      ih -0.0028800
422        z      ih -0.0074310
423       aw      ih -0.0440665
424       jh      ih -0.0128880
425       zh      ih  0.0152645
426       ax      iy -0.0538610
427        d      iy -0.0060735
428       dh      iy -0.0131285
429       er      iy -0.0115580
430       ey      iy -0.0551090
431        f      iy  0.0016235
432       h#      iy  0.0170200
433       hh      iy -0.0090110
434       ih      iy  0.0070000
435       iy      iy  0.0054490
436        k      iy -0.0052880
437        l      iy -0.0188525
438        m      iy -0.0129480
439       ow      iy  0.0091640
440        p      iy -0.0017210
441        r      iy -0.0150850
442        s      iy  0.0096420
443       sh      iy  0.0086675
444        t      iy -0.0076770
445       th      iy -0.0194440
446       uh      iy -0.0010465
447       uw      iy -0.0215180
448        w      iy -0.0220000
449       aa      iy -0.0106170
450       ah      iy -0.0124740
451        b      iy -0.0038220
452       ch      iy -0.0067720
453        n      iy -0.0085820
454        v      iy  0.0058480
455        y      iy  0.0176420
456        z      iy -0.0031910
457       jh      iy -0.0018820
458       ae       k  0.0108660
459       ao       k -0.0011765
460       ax       k  0.0033520
461       ay       k  0.0105740
462        d       k -0.0065570
463       eh       k  0.0147000
464       er       k -0.0130000
465       ey       k -0.0030605
466        f       k  0.0047110
467        g       k  0.0112845
468       h#       k -0.0212435
469       ih       k -0.0007780
470       iy       k -0.0013480
471        k       k -0.0219725
472        l       k -0.0130000
473        m       k -0.0030000
474       ng       k  0.0074195
475       ow       k -0.0181740
476        p       k -0.0587710
477        r       k  0.0002585
478        s       k  0.0100595
479       sh       k  0.0592980
480        t       k -0.0090295
481       uh       k -0.0085960
482       uw       k -0.0007490
483       aa       k  0.0021910
484       ah       k -0.0004785
485       ch       k -0.0076350
486        n       k -0.0035965
487        v       k -0.0155715
488        y       k  0.0152500
489        z       k -0.0126375
490       aw       k  0.0131080
491       jh       k -0.0057530
492       ae       l  0.0410380
493       ao       l  0.0123280
494       ax       l  0.0457670
495       ay       l  0.0119480
496        d       l  0.0078210
497       eh       l  0.0179560
498       er       l -0.0175000
499       ey       l  0.0107575
500        f       l -0.0060045
501       h#       l  0.0124820
502       ih       l  0.0080000
503       iy       l -0.0058450
504        k       l  0.0065060
505        l       l  0.0021560
506        m       l  0.0086595
507       ng       l  0.0156230
508       ow       l -0.0108700
509        p       l  0.0051445
510        r       l -0.0230000
511        s       l  0.0171090
512        t       l  0.0014185
513       uh       l -0.0165585
514       uw       l -0.0262985
515       aa       l  0.0069650
516       ah       l  0.0188235
517        b       l -0.0030000
518        n       l  0.0165640
519        v       l -0.0059665
520        y       l  0.0049020
521        z       l  0.0111805
522       jh       l -0.0200250
523       ae       m  0.0017045
524       ao       m  0.0125350
525       ax       m -0.0006190
526       ay       m  0.0141220
527        d       m -0.0180000
528       eh       m  0.0100865
529       er       m  0.0021800
530       ey       m -0.0039850
531       h#       m  0.0175000
532       ih       m  0.0062230
533       iy       m -0.0084850
534        k       m -0.0199340
535        l       m -0.0147240
536        m       m  0.0770000
537       ng       m -0.0031335
538       ow       m -0.0007790
539        p       m  0.0057320
540        r       m  0.0032410
541        s       m -0.0050670
542        t       m -0.0419090
543       th       m  0.0181060
544       uh       m -0.0124500
545       uw       m -0.0220000
546       aa       m -0.0023100
547       ah       m  0.0054725
548        b       m -0.0080020
549       ch       m -0.0030000
550        n       m -0.0054170
551        z       m -0.0064390
552       aw       m  0.0104730
553       ao      ng  0.0161060
554       ax      ng -0.0030305
555       ay      ng  0.0008010
556       ey      ng  0.0047140
557       h#      ng  0.0001970
558       ih      ng  0.0119760
559       iy      ng  0.0040110
560        l      ng  0.0141500
561       aa      ng  0.0224820
562       ah      ng  0.0060270
563        n      ng  0.0074000
564       ae      ow -0.0172470
565       ax      ow -0.0046470
566       ay      ow  0.0043770
567        d      ow  0.0005060
568       dh      ow -0.0081325
569       eh      ow  0.0253280
570       er      ow -0.0053460
571        f      ow  0.0035850
572        g      ow -0.0049180
573       h#      ow  0.0219630
574       hh      ow  0.0047800
575       ih      ow  0.0111840
576       iy      ow  0.0069435
577        k      ow -0.0130000
578        l      ow -0.0093220
579        m      ow -0.0068245
580       ng      ow -0.0073970
581        p      ow  0.0009220
582        r      ow -0.0101950
583        s      ow  0.0114860
584       sh      ow  0.0119645
585        t      ow -0.0055980
586       th      ow  0.0031245
587       uh      ow  0.0286070
588        w      ow -0.0314305
589       aa      ow  0.0138755
590       ah      ow  0.0126700
591        b      ow  0.0034355
592        n      ow -0.0083075
593        y      ow -0.0197195
594        z      ow -0.0382235
595       jh      ow -0.0316490
596       ae       p -0.0130000
597       ax       p  0.0009350
598       ay       p -0.0114670
599        d       p  0.0217040
600       eh       p  0.0032000
601       er       p -0.0139270
602       ey       p  0.0041080
603        f       p  0.0224760
604       h#       p -0.0230000
605       ih       p  0.0033595
606       iy       p -0.0101120
607        k       p  0.0009820
608        l       p -0.0225000
609        m       p -0.0049570
610       ng       p -0.0045610
611       ow       p  0.0092350
612        r       p -0.0071020
613        s       p -0.0125845
614        t       p  0.0153085
615       uh       p -0.0101785
616       uw       p  0.0019420
617       aa       p -0.0031430
618       ah       p  0.0069920
619        b       p  0.0283380
620        n       p -0.0024530
621        v       p  0.0157260
622        z       p -0.0120000
623       aw       p  0.0186420
624       ao       r -0.0201325
625       ax       r  0.0328255
626       ay       r -0.0030000
627        d       r -0.0130000
628       eh       r -0.0167750
629       er       r -0.0225000
630       ey       r -0.0004660
631        f       r  0.0085740
632        g       r  0.0119255
633       h#       r -0.0030000
634       ih       r  0.0075770
635       iy       r  0.0029390
636        k       r  0.0119515
637        l       r -0.0419825
638       ow       r -0.0317815
639        p       r  0.0084470
640        r       r -0.0704760
641        s       r  0.0107415
642       sh       r -0.0226510
643        t       r  0.0058345
644       th       r  0.0024360
645       uh       r -0.0034570
646       uw       r -0.0044510
647       aa       r -0.0128600
648       ah       r  0.0117820
649        b       r -0.0020000
650       ch       r  0.0017480
651        n       r -0.0146725
652        v       r -0.0038790
653        y       r  0.0352160
654        z       r -0.0049875
655       aw       r -0.0222890
656       jh       r -0.0131290
657       ae       s -0.0117290
658       ao       s -0.0168485
659       ax       s -0.0095940
660       ay       s -0.0053035
661        d       s -0.0208280
662       eh       s -0.0049085
663       er       s -0.0225040
664       ey       s -0.0086045
665        f       s -0.0079210
666        g       s -0.0228350
667       h#       s -0.0686715
668       hh       s -0.0578185
669       ih       s  0.0032450
670       iy       s -0.0092230
671        k       s -0.0307230
672        l       s -0.0218550
673        m       s -0.0213730
674       ng       s -0.0069600
675       ow       s -0.0198570
676        p       s -0.0301540
677        r       s -0.0144025
678        s       s -0.0076640
679        t       s -0.0284220
680       uh       s  0.0006350
681       uw       s -0.0055310
682        w       s  0.0157340
683       aa       s  0.0011020
684       ah       s  0.0014630
685        b       s  0.0181860
686        n       s -0.0120000
687        v       s  0.0097780
688        z       s  0.0163140
689       oy       s  0.0045785
690       aw       s -0.0191670
691       jh       s -0.0010400
692       ax      sh  0.0029060
693       ey      sh  0.0067260
694       h#      sh -0.0245060
695       ih      sh -0.0030000
696        k      sh -0.0175345
697        m      sh -0.0091705
698        s      sh  0.0186840
699        t      sh -0.0318125
700       uh      sh  0.0070000
701       uw      sh  0.0260680
702       aa      sh  0.0087960
